Treatment,Block,Sample,Myrmecochores,A_picea,sum.ap,C_pennsylvanicus,L_neoniger,T_sessile,M_punctiventris,multiple,Other_ants,Colony_total
Remove,1,A,,2,,1,0,0,0,1,2,4
Remove,1,B,,2,,1,0,0,0,1,2,4
Remove,1,C,,1,,0,0,0,0,0,0,1
Remove,1,D,,1,,0,0,0,0,0,0,1
Remove,1,E,,2,8,0,0,1,0,1,2,12
Add,2,A,,1,,0,0,0,0,0,0,1
Add,2,B,,0,,0,0,0,0,0,0,0
Add,2,C,,3,,0,0,0,0,1,1,4
Add,2,D,,2,,1,0,0,0,1,2,4
Add,2,E,,1,7,0,0,0,0,0,0,8
Control,3,A,,1,,0,0,0,0,0,0,1
Control,3,B,,3,,0,0,0,0,1,1,4
Control,3,C,,3,,0,0,0,0,1,1,4
Control,3,D,,0,,0,0,0,0,0,0,0
Control,3,E,,0,7,0,0,0,0,0,0,7
Control,4,A,,1,,1,1,0,0,0,2,3
Control,4,B,,2,,0,0,0,0,1,1,3
Control,4,C,,1,,1,0,0,0,0,1,2
Control,4,D,,1,,0,0,0,0,0,0,1
Control,4,E,,3,8,0,0,0,0,1,1,12
Add,5,A,,1,,0,0,0,0,0,0,1
Add,5,B,,1,,1,0,0,0,0,1,2
Add,5,C,,3,,0,0,0,0,1,1,4
Add,5,D,,2,,0,0,0,0,1,1,3
Add,5,E,,0,7,0,0,0,0,0,0,7
Remove,6,A,,1,,1,0,0,0,0,1,2
Remove,6,B,,1,,0,0,0,0,0,0,1
Remove,6,C,,2,,0,0,0,0,1,1,3
Remove,6,D,,2,,0,0,0,0,1,1,3
Remove,6,E,,2,8,0,0,0,0,1,1,11
Add,7,A,,0,,0,0,0,0,0,0,0
Add,7,B,,0,,0,3,0,0,0,3,3
Add,7,C,,2,,0,1,0,0,1,2,4
Add,7,D,,1,,0,1,0,0,0,1,2
Add,7,E,,2,5,0,1,0,0,1,2,9
Remove,8,A,,1,,0,0,0,1,0,1,2
Remove,8,B,,1,,0,2,0,0,0,2,3
Remove,8,C,,1,,0,1,0,0,0,1,2
Remove,8,D,,3,,0,0,0,0,1,1,4
Remove,8,E,,1,7,0,0,0,0,0,0,8
Control,9,A,,1,,0,0,0,0,0,0,1
Control,9,B,,1,,0,0,0,0,0,0,1
Control,9,C,,1,,1,0,0,0,0,1,2
Control,9,D,,1,,1,0,0,0,0,1,2
Control,9,E,,1,5,0,0,1,0,0,1,7
