grid,solomon seal,wood aster,dogbane,burning bush seedling,blood root,rue anenome,garlic mustard,smartweed,multiflora rose seedling,jack-in-the-pulpit,cleavers,raspberry,trout lily,asiatic bittersweet,unknown licorice,virginia creeper,geranium,unknown sour,chestnut oak seedling,hickory seedling,poison ivy,sugar maple seedling,christmas fern,trillium,unknown rush,unknown halberd,cherry seedling,goldenrod,hornbeam seedling
a2,8,7,30,21,1,1,3,1,,,,,,,,,,,,,,,,,,,,,
a4,3,5,40,21,,,,,1,1,,,,,,,,,,,,,,,,,,,
a6,14,5,44,11,,,,,,,1,,,,,,,,,,,,,,,,,,
a7,,19,60,33,,3,,,,,,,,,,,,,,,,,,,,,,,
a12,9,3,67,50,,,,,,,,,,,,,,,,,,,,,,,,,
d5,5,8,7,16,,,11,,,,,1,233,,,,,,,,,,,,,,,,
d6,5,1,,9,,,51,,,,1,,110,4,2,1,1,,,,,,,,,,,,
d8,8,,,10,,,9,,,,,,,37,2,1,,,,,,,,,,,,,
d11,5,,,9,1,14,,,,,,,,16,25,,,15,1,1,2,,,,,,,,
d12,1,,,6,,,7,,,,,,,12,41,2,2,,,,,1,,,,,,,
b4,9,14,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
b5,8,33,,11,3,1,,,,,,,,8,,,,,,,,,,,,,,,
b9,7,11,,26,,,1,,,,,,,57,,1,,,,,,,,1,,,,,
c2,15,36,,,,,,,,,,,,1,,,,,,,,,,,5,,,,
c6,7,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
c10,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5,8,7,,,,,7,,,,,,,3,,,,,,,,,1,,,,,,
f10,6,4,,,,,2,,,,,,,2,,,,,,,,,,,,5,,,
f12,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
e11,24,9,,,2,9,20,,,,,,,4,,2,,,,,,2,,,,,,1,1
e3,,16,,12,,,12,,,,1,,,34,,,,,,,,,2,,,,,,
e5,,3,,,,,7,,,,,,,13,4,,,,,,,,,,,,,,
